scientificName,vernacularName,phylum,class,order,family,WebLink,degreeOfEstablishment,Duration,Growing Habbit,Growth Rate,Lifespan,Fertility Requirement,Fruit/Seed Abundance,Propagated Methods,Seed Spread Rate,Seedling Vigor,Toxicity,productable,Palatable Animal,Palatable Human,Commercial Availability,soil Adaption,temperature Adaption,humid Adaption,Population Density ,"Temperature, Minimum",Drought Tolerance,Soil Adaption,State,Temperature
Melilotus officinalis,Sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,High,High,1,Rapid,High,Moderate,1,Moderate,No,1,Medium,Low,Medium,Low,-39,High,"Fine, Medium",AK,-34
Melilotus officinalis,Sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,High,High,1,Rapid,High,Moderate,1,Moderate,No,1,Medium,Medium,High,High,-39,High,"Fine, Medium",FL,15-26
Melilotus officinalis,Sweetclover,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,https://plants.usda.gov/home/plantProfile?symbol=MEOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,High,High,1,Rapid,High,Moderate,1,Moderate,No,1,Low,High,Low,Low,-39,High,"Fine, Medium",NV,7-23
Ailanthus altissima,Tree of heaven,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,https://plants.usda.gov/home/plantProfile?symbol=AIAL,widespread invasive (category E),Perennial,Tree,Rapid,Short,Low,High,4,Rapid,High,Moderate,3,Low,No,1,Low,Low,Medium,Low,-27,Medium,"Coarse, Fine, Medium",AK,-34
Ailanthus altissima,Tree of heaven,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,https://plants.usda.gov/home/plantProfile?symbol=AIAL,widespread invasive (category E),Perennial,Tree,Rapid,Short,Low,High,4,Rapid,High,Moderate,3,Low,No,1,High,Medium,High,High,-27,Medium,"Coarse, Fine, Medium",FL,15-26
Ailanthus altissima,Tree of heaven,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,https://plants.usda.gov/home/plantProfile?symbol=AIAL,widespread invasive (category E),Perennial,Tree,Rapid,Short,Low,High,4,Rapid,High,Moderate,3,Low,No,1,Low,High,Low,Low,-27,Medium,"Coarse, Fine, Medium",NV,7-23
Tragopogon dubius,Yellow salsify,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TRDU,widespread invasive (category E),Annual,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,No,0,Medium,Low,Medium,Low,-33,High,"Coarse, Fine, Medium",AK,-34
Tragopogon dubius,Yellow salsify,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TRDU,widespread invasive (category E),Annual,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,No,0,Medium,High,High,High,-33,High,"Coarse, Fine, Medium",FL,15-26
Tragopogon dubius,Yellow salsify,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TRDU,widespread invasive (category E),Annual,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,No,0,Medium,Medium,Low,Low,-33,High,"Coarse, Fine, Medium",NV,7-23
Taraxacum officinale ssp. officinale,Common dandelion,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TAOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,Yes,1,Medium,Low,Medium,Low,-39,Medium,"Coarse, Fine, Medium",AK,-34
Taraxacum officinale ssp. officinale,Common dandelion,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TAOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,Yes,1,Medium,Medium,High,High,-39,Medium,"Coarse, Fine, Medium",FL,15-26
Taraxacum officinale ssp. officinale,Common dandelion,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,https://plants.usda.gov/home/plantProfile?symbol=TAOF,widespread invasive (category E),Perennial,Forb/herb,Rapid,Short,Low,High,1,Rapid,High,None,0,Low,Yes,1,Medium,Medium,Low,Low,-39,Medium,"Coarse, Fine, Medium",NV,7-23
Pinus mugo,Mugo pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIMU80,invasive (category D2),Perennial,Shrub,Slow,Long,Medium,None,2,None,Low,None,1,Low,No,1,Medium,Low,Medium,Low,-39,Low,"Coarse, Medium",AK,-34
Pinus mugo,Mugo pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIMU80,invasive (category D2),Perennial,Shrub,Slow,Long,Medium,None,2,None,Low,None,1,Low,No,1,High,High,Medium,High,-39,Low,"Coarse, Medium",FL,15-26
Pinus mugo,Mugo pine,Tracheophyta,Pinopsida,Pinales,Pinaceae,https://plants.usda.gov/home/plantProfile?symbol=PIMU80,invasive (category D2),Perennial,Shrub,Slow,Long,Medium,None,2,None,Low,None,1,Low,No,1,Low,Medium,Medium,Low,-39,Low,"Coarse, Medium",NV,7-23
