id,StdT,number,mean_distance
1,0.0,915.842,5.239653295194783
2,0.5,917.045,5.2419247864566545
3,1.0,921.353,5.244391237031429
4,1.5,916.969,5.23904427074045
5,2.0,913.128,5.238183913049784
6,2.5,889.185,5.228448101676755
7,3.0,889.324,5.227295572848754
8,3.5,899.45,5.2323672299596495
9,4.0,897.702,5.230930115719937
10,4.5,896.804,5.224937751339906
11,5.0,895.045,5.205267490724889
12,5.5,880.798,5.181621200923655
13,6.0,854.025,5.12352569851294
14,6.5,826.039,5.093225943751116
15,7.0,818.187,5.08661109972881
16,7.5,829.417,5.069170386270877
17,8.0,788.102,5.023725212959035
18,8.5,800.31,5.026316923593254
19,9.0,764.022,4.979969265479374
20,9.5,757.874,4.965574434864721
21,10.0,708.776,4.908680926201647
