id,StdW,number,mean_distance
1,0.0,460.889,5.197205885974927
2,0.5,556.344,5.186236853732507
3,1.0,714.515,5.1728439678144085
4,1.5,854.74,5.199580812309169
5,2.0,948.749,5.26023732195027
6,2.5,1038.233,5.382626097542836
7,3.0,1087.107,5.551454142265126
8,3.5,1143.701,5.76832283644755
9,4.0,1194.933,6.0007774873540605
10,4.5,1244.037,6.255730907091824
11,5.0,1259.333,6.494747460288919
12,5.5,1295.217,6.76258573969012
13,6.0,1341.978,7.031710143748473
14,6.5,1376.566,7.300316356783321
15,7.0,1421.753,7.586784422787637
16,7.5,1456.355,7.863275141613332
17,8.0,1471.266,8.132432379588286
18,8.5,1520.993,8.42453608295453
19,9.0,1533.723,8.695637769675379
20,9.5,1576.87,8.991806942912442
21,10.0,1584.885,9.248693760676813
